oblast,nature_zone,eco_district,pasture_type,grazing_period_days,cattle_restored,cattle_degraded,sheep_goats_restored,sheep_goats_degraded,horses_restored,horses_degraded,camels_restored,camels_degraded
Алматинская,Горная,Предгорья,Тростниково-злаково-разнотравные,205.0,45.0,60.0,9.0,12.0,54.0,72.0,63.0,84.0
Алматинская,Горная,Предгорья,Полынно-солянковые с эфемерами и мелкими злаковыми,205.0,105.0,155.0,21.0,31.0,126.0,186.0,147.0,217.0
Алматинская,Горная,Предгорья,Полынно-ковыльно-боялычевые с эфемерами и эбелеком,205.0,200.0,295.0,40.0,59.0,240.0,354.0,239.0,280.0
Алматинская,Горная,Межгорные впадины,Полынно-солянковые с эфемерами и мелкими злаками,195.0,115.0,165.0,23.0,33.0,138.0,198.0,161.0,231.0
Алматинская,Горная,Межгорные впадины,Серополынно-солянковые с эфемерами и дерновинными злаками,195.0,100.0,150.0,20.0,30.0,120.0,180.0,140.0,210.0
Алматинская,Горная,Межгорные впадины,Злаково-разнотравные луговые с участками лесов,195.0,25.0,40.0,5.0,8.0,30.0,48.0,35.0,56.0
Алматинская,Горная,Горы,"Манжетно-кобрезиевые, местами типчаково-разнотравные с зарослями арчевого стланника",150.0,40.0,60.0,8.0,12.0,48.0,72.0,56.0,84.0
Алматинская,Горная,Горы,Мятлико-разнотравные и типчаково-разнотравные,150.0,65.0,95.0,13.0,19.0,78.0,114.0,91.0,126.0
Алматинская,Горная,Горы,Полынно-злаковые закустаренные,150.0,100.0,145.0,20.0,29.0,120.0,174.0,140.0,203.0
Атырауская,Пустынная,Остепненная пустынная (полупустыня),Шагырово-разнотравные полынно-еркековыми местами закустаренные жузгуном,250.0,180.0,265.0,36.0,53.0,216.0,318.0,252.0,371.0
Атырауская,Пустынная,Остепненная пустынная (полупустыня),Кустарниково-полынно-злаковые с еркеково-полынными,250.0,155.0,240.0,31.0,48.0,186.0,289.0,217.0,336.0
Атырауская,Пустынная,Остепненная пустынная (полупустыня),Биюргуново-кейреуко-вые с серополынными местами закустаренные,250.0,220.0,315.0,44.0,63.0,264.0,378.0,308.0,441.0
Атырауская,Пустынная,Остепненная пустынная (полупустыня),Биюргуново-солянковые,250.0,150.0,240.0,30.0,48.0,180.0,288.0,210.0,336.0
Атырауская,Пустынная,Настоящая (средняя пустыня),Биюргуно-чернополынные и кокпеково-полынные,250.0,95.0,145.0,19.0,29.0,114.0,174.0,133.0,203.0
Атырауская,Пустынная,Настоящая (средняя пустыня),Солянково-полынные,250.0,115.0,175.0,23.0,35.0,138.0,210.0,161.0,245.0
Атырауская,Пустынная,Настоящая (средняя пустыня),"Еркековые с серополын-но-терескеновыми, засоренные биюргуном",250.0,100.0,150.0,20.0,30.0,120.0,180.0,140.0,210.0
Западно-Казахстанская,Степная,Засушливая степь,Красноковыльно-овсецово-разнотравные,190.0,85.0,130.0,17.0,26.0,102.0,156.0,119.0,182.0
Западно-Казахстанская,Степная,Засушливая степь,Красно-ковыльно- типчаковые,190.0,100.0,150.0,20.0,30.0,120.0,180.0,140.0,210.0
Западно-Казахстанская,Степная,Засушливая степь,Типчаково-полынно-ковыльные,190.0,85.0,130.0,17.0,26.0,102.0,156.0,119.0,182.0
Западно-Казахстанская,Степная,Умеренно-сухая степь,Ковылыно-типчаково-полынные,190.0,85.0,130.0,17.0,26.0,102.0,156.0,119.0,182.0
Западно-Казахстанская,Степная,Умеренно-сухая степь,Красноковыльно-житняковые,190.0,100.0,150.0,20.0,30.0,120.0,180.0,140.0,210.0
Западно-Казахстанская,Степная,,Ковыльно-типчаковые с пырейными,190.0,100.0,150.0,20.0,30.0,120.0,180.0,140.0,210.0
Западно-Казахстанская,Степная,Сухая степь,Ковыльно-типчаково-полынные,190.0,95.0,145.0,19.0,29.0,120.0,180.0,133.0,203.0
Западно-Казахстанская,Степная,Сухая степь,Тырсово-полынно-типчаковые,190.0,115.0,170.0,23.0,34.0,138.0,138.0,161.0,238.0
Западно-Казахстанская,Степная,Сухая степь,Ковыльно-житняково-типчаково-полынные,190.0,130.0,200.0,26.0,40.0,156.0,240.0,182.0,280.0
Западно-Казахстанская,Степная,Сухая степь,Полынно-злаково-эфемеровые,190.0,155.0,240.0,31.0,48.0,186.0,288.0,217.0,336.0
Западно-Казахстанская,Степная,Сухая степь,Чернополынно-солянково-эфемеровые,190.0,215.0,335.0,43.0,67.0,258.0,402.0,301.0,469.0
Западно-Казахстанская,Степная,Опустынен-ная степь,Типчаково-полынно-ковыльные,190.0,90.0,135.0,18.0,27.0,108.0,162.0,126.0,189.0
Западно-Казахстанская,Степная,Опустынен-ная степь,Житняково-типчаково-полынные,190.0,75.0,115.0,15.0,23.0,90.0,138.0,105.0,161.0
Западно-Казахстанская,Степная,Остепненная пустыня (полупустыня),Серонолынно-биюргуново-кокпековые со злаками,195.0,155.0,240.0,31.0,48.0,186.0,288.0,217.0,336.0
Западно-Казахстанская,Степная,Остепненная пустыня (полупустыня),"Шагырово-еркеково-разнотравные, местами закустаренные",195.0,180.0,265.0,36.0,53.0,216.0,318.0,252.0,371.0
Жамбылская,Пустынная,Настоящая (средняя) пустыня,Серополынно-кейреуково-боялычевая,260.0,110.0,165.0,22.0,33.0,132.0,198.0,154.0,231.0
Жамбылская,Пустынная,Настоящая (средняя) пустыня,Полынно-изенево-еркековые закустаренные,260.0,85.0,100.0,17.0,26.0,102.0,156.0,119.0,182.0
Жамбылская,Пустынная,Настоящая (средняя) пустыня,Серополынно-эфемерово-кустарниковые,260.0,100.0,150.0,20.0,30.0,120.0,180.0,140.0,210.0
Жамбылская,Пустынная,Настоящая (средняя) пустыня,Кустарниково-полынно-злаковые с еркекотерескеновыми,260.0,105.0,160.0,21.0,32.0,126.0,192.0,147.0,224.0
Жамбылская,Пустынная,Настоящая (средняя) пустыня,Ржано-разнотравные местами закустаренные,260.0,200.0,295.0,40.0,59.0,240.0,354.0,280.0,413.0
Жамбылская,Пустынная,Настоящая (средняя) пустыня,Серополынно-боялычевые,260.0,125.0,185.0,25.0,37.0,150.0,222.0,175.0,259.0
Жамбылская,Пустынная,,Биюргуново-кейреуковые с серополынно боялычевыми,260.0,110.0,165.0,22.0,33.0,132.0,198.0,154.0,231.0
Жамбылская,Пустынная,,Тростниково-вейниковые,260.0,40.0,60.0,8.0,12.0,48.0,72.0,25.0,84.0
Жамбылская,Пустынная,,Злаково-разнотравные на лугах,260.0,85.0,140.0,17.0,28.0,102.0,168.0,119.0,196.0
Жамбылская,Горная,Предгорья,Серополынно-эфемеровые,225.0,160.0,240.0,32.0,48.0,192.0,288.0,224.0,336.0
Жамбылская,Горная,Предгорья,Полынно-солянково-эфемеровые,225.0,110.0,165.0,22.0,32.0,132.0,198.0,154.0,231.0
Жамбылская,Горная,Предгорья,Злаково-полынно-эфемеровые,225.0,75.0,110.0,15.0,22.0,90.0,132.0,105.0,154.0
Жамбылская,Горная,Предгорья,Дерновинно-злаково-эфемеровые местами закустаренные,205.0,45.0,65.0,9.0,13.0,54.0,78.0,63.0,91.0
Жамбылская,Горная,Предгорья,Тырсово-полынно-эфемеровые,205.0,80.0,120.0,16.0,24.0,96.0,144.0,112.0,168.0
Жамбылская,Горная,Горы,Тырсово-типчаково-полынно-разнотравные,160.0,60.0,70.0,12.0,14.0,72.0,84.0,84.0,98.0
Жамбылская,Горная,Горы,Осоково-злаково-разнотравные,160.0,70.0,90.0,14.0,18.0,84.0,108.0,98.0,126.0
Жамбылская,Горная,Горы,Дерновинно-злаковые с эфемерами,160.0,40.0,65.0,8.0,13.0,48.0,78.0,56.0,91.0
Жамбылская,Горная,Горы,Бородачевые с тырсово-типчаковыми,160.0,85.0,130.0,17.0,26.0,102.0,156.0,119.0,182.0
Жетісу,Пустынная,Остепненная пустыня (полупустыня),Серопольнно-кейреуково-боялычевые,220.0,160.0,250.0,32.0,50.0,192.0,300.0,224.0,350.0
Жетісу,Пустынная,Остепненная пустыня (полупустыня),Еркеково-серополынные с разнотравно-эфемеровыми,220.0,140.0,210.0,28.0,42.0,168.0,252.0,196.0,294.0
Жетісу,Пустынная,Остепненная пустыня (полупустыня),Серополынные-терескено изеневые с разнотравьем,220.0,190.0,295.0,38.0,59.0,228.0,354.0,262.0,413.0
Жетісу,Пустынная,Остепненная пустыня (полупустыня),Полынно-солянково-эфемеровые,220.0,145.0,215.0,29.0,43.0,174.0,258.0,203.0,301.0
Жетісу,Пустынная,Настоящая (средняя) пустыня,Серополынно-изеневотерес кеновые с разнотравьем - кустарниковыми,220.0,80.0,125.0,16.0,25.0,96.0,150.0,112.0,175.0
Жетісу,Пустынная,Настоящая (средняя) пустыня,Эфедрово-изенево-кустарниковые с терескеново-серополынными,220.0,140.0,210.0,28.0,42.0,168.0,252.0,196.0,294.0
Жетісу,Пустынная,Настоящая (средняя) пустыня,Эбелеково-серонолынно-эфемеровые с солянками и адраспаном,220.0,105.0,165.0,21.0,33.0,126.0,198.0,147.0,231.0
Жетісу,Пустынная,Настоящая (средняя) пустыня,Тростниково-разнотравье в сочетании с терескеново-жантаково-изеневыми,220.0,85.0,130.0,17.0,26.0,102.0,156.0,119.0,182.0
Жетісу,Горная,Предгорья,Солянковые закустаренные,205.0,150.0,240.0,30.0,48.0,180.0,288.0,210.0,336.0
Жетісу,Горная,Предгорья,Тростниково-злаково-разнотравные,205.0,45.0,60.0,9.0,12.0,54.0,72.0,63.0,84.0
Жетісу,Горная,Предгорья,Полынно-солянковые с эфемерами и мелкими злаковыми,205.0,105.0,155.0,21.0,31.0,126.0,186.0,147.0,217.0
Жетісу,Горная,Предгорья,Полынно-ковыльно-боялычевые с эфемерами и эбелеком,205.0,200.0,295.0,40.0,59.0,240.0,354.0,239.0,280.0
Жетісу,Горная,Межгорные впадины,Полынно-солянковые с эфемерами и мелкими злаками,195.0,115.0,165.0,23.0,33.0,138.0,198.0,161.0,231.0
Жетісу,Горная,Межгорные впадины,Серополынно-солянковые с эфемерами и дерновинными злаками,195.0,100.0,150.0,20.0,30.0,120.0,180.0,140.0,210.0
Жетісу,Горная,Межгорные впадины,Злаково-разнотравные луговые с участками лесов,195.0,25.0,40.0,5.0,8.0,30.0,48.0,35.0,56.0
Жетісу,Горная,Горы,"Манжетно-кобрезиевые, местами типчаково-разнотравные с зарослями арчевого стланника",150.0,40.0,60.0,8.0,12.0,48.0,72.0,56.0,84.0
Жетісу,Горная,Горы,Мятлико-разнотравные и типчаково-разнотравные,150.0,65.0,95.0,13.0,19.0,78.0,114.0,91.0,126.0
Жетісу,Горная,Горы,Полынно-злаковые закустаренные,150.0,100.0,145.0,20.0,29.0,120.0,174.0,140.0,203.0
Карагандинская,Степная,Умеренно-сухая степь,Красноковыльно-овсецово-разнотравные,185.0,120.0,145.0,25.0,29.0,150.0,174.0,175.0,203.0
Карагандинская,Степная,Умеренно-сухая степь,Ковылково-типчаковые с полынно-кокпековыми на солонцах,185.0,130.0,190.0,26.0,38.0,156.0,228.0,182.0,262.0
Карагандинская,Степная,Умеренно-сухая степь,Красно-ковыльно-типчаково-овсецовые,185.0,90.0,130.0,18.0,26.0,108.0,156.0,126.0,182.0
Карагандинская,Степная,Умеренно-сухая степь,Тырсово-типчаково-кустарниковые с полынниками,185.0,125.0,185.0,25.0,37.0,150.0,222.0,175.0,259.0
Карагандинская,Степная,Сухая степь,Ковылково-типчаково- кустарниковые местами с полынью,185.0,95.0,140.0,19.0,28.0,114.0,168.0,133.0,196.0
Карагандинская,Степная,Сухая степь,Тырсиково-типчаково- ковыльные с разнотравьем,185.0,95.0,140.0,19.0,28.0,114.0,168.0,133.0,196.0
Карагандинская,Степная,Сухая степь,Овсецово-ковыльно-типчаковые закустаренные,185.0,140.0,250.0,28.0,50.0,168.0,300.0,196.0,350.0
Карагандинская,Степная,Пустынная степь,Ковыльно-типчаково-полынные,200.0,150.0,250.0,30.0,50.0,180.0,300.0,210.0,350.0
Карагандинская,Степная,Пустынная степь,Тырсово-полынные с волоснецово-чиевыми лугами,200.0,135.0,225.0,27.0,45.0,162.0,270.0,189.0,315.0
Карагандинская,Степная,Пустынная степь,Полынно-злаково-кустаренные,200.0,140.0,250.0,28.0,50.0,168.0,300.0,196.0,350.0
Карагандинская,Пустынная,Остепненная пустыня (полупустыня),Кокпеково-полынные и чернополынные,225.0,125.0,185.0,25.0,37.0,150.0,222.0,175.0,259.0
Карагандинская,Пустынная,Остепненная пустыня (полупустыня),Еркеково-ковыльно-полынные,225.0,120.0,180.0,24.0,36.0,144.0,216.0,168.0,252.0
Карагандинская,Пустынная,Остепненная пустыня (полупустыня),Серополынно-еркеково-боялычевые,225.0,120.0,185.0,24.0,37.0,144.0,222.0,168.0,259.0
Карагандинская,Пустынная,Остепненная пустыня (полупустыня),Ковыльно-типчаково-полынные,225.0,135.0,225.0,27.0,45.0,162.0,270.0,189.0,315.0
Карагандинская,Пустынная,Настоящая (средняя пустыня),Серополынно-боялычевые,225.0,95.0,140.0,19.0,28.0,114.0,168.0,133.0,196.0
Карагандинская,Пустынная,Настоящая (средняя пустыня),Серополынно-еркеково-боялычевые,225.0,85.0,110.0,17.0,22.0,102.0,132.0,119.0,154.0
Карагандинская,Пустынная,Настоящая (средняя пустыня),Серополынно-боялычево-ковыльные,225.0,105.0,150.0,20.0,30.0,120.0,180.0,140.0,210.0
Костанайская,Степная,Колочная подзона умеренно-засушливой степи,Злаково-разнотравные с березовыми колками,175.0,45.0,65.0,9.0,13.0,54.0,78.0,63.0,91.0
Костанайская,Степная,Колочная подзона умеренно-засушливой степи,Красноковыльно-разнтравно-полынные с типчаково-полынными на солонцах,175.0,50.0,70.0,10.0,14.0,60.0,84.0,70.0,98.0
Костанайская,Степная,Умеренно- засушливая степь,Злаково-разнотравные с березовыми колками,175.0,45.0,65.0,9.0,13.0,54.0,78.0,63.0,91.0
Костанайская,Степная,Умеренно- засушливая степь,Красноковыльно-разнотравно-полынные,175.0,50.0,70.0,10.0,14.0,60.0,84.0,70.0,98.0
Костанайская,Степная,Засушливая степь,Красноковыльно-овсецово-разнотравные с типчаково-полынными на солонцах,175.0,85.0,130.0,17.0,26.0,102.0,156.0,119.0,182.0
Костанайская,Степная,Засушливая степь,Ковыльно-разнотравные местами закустаренные,175.0,60.0,90.0,12.0,18.0,72.0,108.0,84.0,126.0
Костанайская,Степная,Умеренно-сухая степь,Ковыльно-разнотравные местами закустаренные,175.0,60.0,90.0,12.0,18.0,72.0,108.0,84.0,126.0
Костанайская,Степная,Умеренно-сухая степь,Ковыльно-типчаково-разнотравные,175.0,90.0,140.0,18.0,28.0,108.0,168.0,126.0,196.0
Костанайская,Степная,Умеренно-сухая степь,Ковыльно-типчаково-полынные,175.0,85.0,130.0,17.0,26.0,102.0,156.0,119.0,182.0
Костанайская,Степная,Умеренно-сухая степь,Ковыльно-типчаково-полынные с кокпеково-чернополынными,175.0,100.0,150.0,20.0,30.0,120.0,180.0,140.0,210.0
Костанайская,Степная,Сухая степь,Красноковыльно-овсецово-разнотравные,190.0,85.0,130.0,17.0,26.0,102.0,156.0,119.0,182.0
Костанайская,Степная,Сухая степь,Типчаково-ковыльно-полынные,190.0,85.0,130.0,17.0,26.0,102.0,156.0,119.0,182.0
Костанайская,Степная,Сухая степь,Ковыльно-типчаково-полынные,190.0,105.0,155.0,21.0,31.0,126.0,186.0,147.0,217.0
Костанайская,Степная,Сухая степь,Ковыльно-житняковые,190.0,120.0,185.0,24.0,37.0,144.0,222.0,168.0,259.0
Костанайская,Степная,Сухая степь,Кокпеково-полынные с биюргунниками на солонцах,190.0,160.0,250.0,32.0,50.0,192.0,300.0,224.0,350.0
Кызылординская,Пустынная,"Степная, пустынная",Серополынно-мятликовые,240.0,180.0,250.0,36.0,50.0,216.0,300.0,252.0,350.0
Кызылординская,Пустынная,"Степная, пустынная",Серополынно-итсигековые с чернополынно-биюргуновыми,240.0,180.0,250.0,36.0,50.0,216.0,300.0,252.0,350.0
Кызылординская,Пустынная,"Степная, пустынная",Серополынно-кейреуково-боялычевые,240.0,160.0,240.0,32.0,48.0,192.0,288.0,224.0,336.0
Кызылординская,Пустынная,"Степная, пустынная",Еркеково-серополынные эфемероидные,,140.0,210.0,28.0,42.0,168.0,252.0,196.0,294.0
Кызылординская,Пустынная,"Степная, пустынная",Еркеково-серополынно-терескеновые,,150.0,225.0,30.0,45.0,180.0,270.0,210.0,315.0
Кызылординская,Пустынная,"Степная, пустынная",Биюргуново-кейреуковые с серополынниками,,215.0,315.0,43.0,63.0,258.0,378.0,301.0,441.0
Кызылординская,Пустынная,"Степная, пустынная",Биюргуново-кокпеково-полынные,,140.0,210.0,28.0,42.0,168.0,252.0,196.0,294.0
Кызылординская,Пустынная,Настоящая (средняя) пустыня,Саксаулово-эфемеровые с кустарниково-разнотравными,260.0,155.0,250.0,31.0,50.0,186.0,300.0,217.0,350.0
Кызылординская,Пустынная,Настоящая (средняя) пустыня,Кустарниково-эфемеровые с преобладанием жузгуна,,105.0,160.0,21.0,32.0,136.0,192.0,147.0,224.0
Кызылординская,Пустынная,Настоящая (средняя) пустыня,Эфемерово-разнотравно-саксауловые,,140.0,210.0,28.0,42.0,228.0,252.0,196.0,294.0
Кызылординская,Пустынная,Настоящая (средняя) пустыня,Серополынно-эфемерово-кустарниковые,,110.0,165.0,22.0,33.0,132.0,198.0,154.0,231.0
Кызылординская,Пустынная,Настоящая (средняя) пустыня,Биюргуново-кейреуковые с серополынниками,,145.0,215.0,29.0,43.0,174.0,258.0,203.0,301.0
Мангистауская,Пустынная,Настоящая (средняя) пустыня,Серополынно-мятликово-ранговые,280.0,120.0,180.0,24.0,36.0,146.0,216.0,168.0,252.0
Мангистауская,Пустынная,Настоящая (средняя) пустыня,Серополынно-итсигековые с чернополынно-биюргуновыми,280.0,120.0,180.0,24.0,36.0,144.0,216.0,168.0,252.0
Мангистауская,Пустынная,Настоящая (средняя) пустыня,Мортуково-итсигеково-эбелековые,280.0,140.0,210.0,28.0,42.0,168.0,252.0,196.0,294.0
Мангистауская,Пустынная,Настоящая (средняя) пустыня,Серополынно-кейреуково-боялычевые,280.0,110.0,165.0,22.0,33.0,132.0,198.0,198.0,232.0
